TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,SAL,19.9,2022-04-19,
AMZN,AMZN,SAL,15.9,2022-04-21,
AMZN,AMZN,SAL,18.4,2022-04-28,
AMZN,AMZN,SAL,14.5,2022-04-29,
AMZN,AMZN,SAL,13.9,2022-04-29,
AMZN,AMZN,SAL,15,2022-04-29,
AMZN,AMZN,SAL,14,2022-05-14,
AMZN,AMZN,SAL,14.7,2022-06-17,
AMZN,AMZN,SAL,16.6,2022-07-15,
AMZN,AMZN,SAL,20,2022-07-20,
AMZN,AMZN,SAL,13,2022-07-25,
AMZN,AMZN,SAL,13.8,2022-07-28,
AMZN,AMZN,SAL,17.6,2022-07-28,
AMZN,AMZN,SAL,14.4,2022-07-29,
AMZN,AMZN,SAL,9,2022-09-07,
AMZN,AMZN,SAL,14.9,2022-09-13,
AMZN,AMZN,SAL,17.2,2022-10-18,
AMZN,AMZN,SAL,10.8,2022-10-27,
AMZN,AMZN,SAL,11.1,2022-10-28,
AMZN,AMZN,SAL,15,2022-12-19,
AMZN,AMZN,SAL,11,2023-01-13,
AMZN,AMZN,SAL,12.9,2023-01-26,
AMZN,AMZN,SAL,11,2023-01-30,
AMZN,AMZN,SAL,11.4,2023-02-02,
AMZN,AMZN,SAL,10.4,2023-02-02,
AMZN,AMZN,SAL,12,2023-02-03,
AMZN,AMZN,SAL,12,2023-02-03,
AMZN,AMZN,SAL,8,2023-02-13,
AMZN,AMZN,SAL,11,2023-04-06,
AMZN,AMZN,SAL,13.3,2023-04-27,
AMZN,AMZN,SAL,10,2023-04-28,
AMZN,AMZN,SAL,11.5,2023-04-28,
AMZN,AMZN,SAL,13.4,2023-06-16,
AMZN,AMZN,SAL,13.2,2023-08-03,
AMZN,AMZN,SAL,11.2,2023-08-04,
AMZN,AMZN,SAL,12.3,2023-08-04,
AMZN,AMZN,SAL,12,2023-08-04,
AMZN,AMZN,SAL,18,2023-08-06,
AMZN,AMZN,SAL,11,2023-10-26,
AMZN,AMZN,SAL,11.5,2023-10-26,
AMZN,AMZN,SAL,11.6,2023-10-27,
AMZN,AMZN,SAL,11.6,2024-02-01,
AMZN,AMZN,SAL,10.2,2024-02-01,
AMZN,AMZN,SAL,11.5,2024-04-03,
AMZN,AMZN,SAL,11.7,2024-05-01,
AMZN,AMZN,SAL,8.9,2024-07-24,
AMZN,AMZN,SAL,11.3,2024-08-02,
AMZN,AMZN,SAL,11,2024-08-02,
AMZN,AMZN,SAL,11,2024-08-02,
AMZN,AMZN,SAL,68968,2019-08-01,69981
AMZN,AMZN,SAL,69028,2019-09-05,69981
AMZN,AMZN,SAL,69743,2019-09-18,69981
AMZN,AMZN,SAL,69570,2019-09-18,69981
AMZN,AMZN,SAL,68879,2019-10-08,69981
AMZN,AMZN,SAL,68355,2019-10-11,69981
AMZN,AMZN,SAL,69798.98,2019-10-15,69981
AMZN,AMZN,SAL,67879.153,2019-10-16,69981
AMZN,AMZN,SAL,68943,2019-10-16,69981
AMZN,AMZN,SAL,69616,2019-10-22,69981
AMZN,AMZN,SAL,69042,2019-10-23,69981
AMZN,AMZN,SAL,278418,2019-08-01,280522
AMZN,AMZN,SAL,279418,2019-09-05,280522
AMZN,AMZN,SAL,279054,2019-09-27,280522
AMZN,AMZN,SAL,279844,2019-10-07,280522
AMZN,AMZN,SAL,280684,2019-10-08,280522
AMZN,AMZN,SAL,279580,2019-10-08,280522
AMZN,AMZN,SAL,278237,2019-10-11,280522
AMZN,AMZN,SAL,281021.85,2019-10-14,280522
AMZN,AMZN,SAL,281561.05,2019-10-15,280522
AMZN,AMZN,SAL,277538.66,2019-10-16,280522
AMZN,AMZN,SAL,278196,2019-10-16,280522
AMZN,AMZN,SAL,280826,2019-10-22,280522
AMZN,AMZN,SAL,279026,2019-10-23,280522
AMZN,AMZN,SAL,279839,2019-10-24,280522
AMZN,AMZN,SAL,278254,2019-10-24,280522
AMZN,AMZN,SAL,278187.59,2019-10-24,280522
AMZN,AMZN,SAL,278237,2019-10-24,280522
AMZN,AMZN,SAL,279575,2019-10-24,280522
AMZN,AMZN,SAL,279459.35,2019-10-24,280522
AMZN,AMZN,SAL,279520,2019-10-24,280522
AMZN,AMZN,SAL,279600,2019-10-24,280522
AMZN,AMZN,SAL,277606,2019-10-24,280522
AMZN,AMZN,SAL,279452,2019-10-24,280522
AMZN,AMZN,SAL,279414,2019-10-25,280522
AMZN,AMZN,SAL,279735,2019-10-25,280522
AMZN,AMZN,SAL,278085,2019-10-25,280522
AMZN,AMZN,SAL,279705.3,2019-10-25,280522
AMZN,AMZN,SAL,279474,2019-10-25,280522
AMZN,AMZN,SAL,278798,2019-10-25,280522
AMZN,AMZN,SAL,279188,2019-10-25,280522
AMZN,AMZN,SAL,279384.06,2019-10-25,280522
AMZN,AMZN,SAL,277672,2019-10-25,280522
AMZN,AMZN,SAL,279698,2019-10-25,280522
AMZN,AMZN,SAL,279108,2019-10-25,280522
AMZN,AMZN,SAL,279535.36,2019-10-25,280522
AMZN,AMZN,SAL,278759.43,2019-10-25,280522
AMZN,AMZN,SAL,279074,2019-10-25,280522
AMZN,AMZN,SAL,279481.3,2019-10-25,280522
AMZN,AMZN,SAL,278079,2019-10-25,280522
AMZN,AMZN,SAL,278831,2019-10-25,280522
AMZN,AMZN,SAL,279499.17,2019-10-25,280522
AMZN,AMZN,SAL,279353.96,2019-10-25,280522
AMZN,AMZN,SAL,279696,2019-10-25,280522
AMZN,AMZN,SAL,279716.64,2019-10-25,280522
AMZN,AMZN,SAL,279574,2019-10-25,280522
AMZN,AMZN,SAL,276284.21,2019-10-25,280522
AMZN,AMZN,SAL,280057,2019-10-25,280522
AMZN,AMZN,SAL,279475,2019-10-25,280522
AMZN,AMZN,SAL,278792.9,2019-10-25,280522
AMZN,AMZN,SAL,279500,2019-10-25,280522
AMZN,AMZN,SAL,279363,2019-10-28,280522
AMZN,AMZN,SAL,279385,2019-10-29,280522
AMZN,AMZN,SAL,279364,2019-11-26,280522
AMZN,AMZN,SAL,279882.09,2019-11-26,280522
AMZN,AMZN,SAL,279635.2,2019-11-26,280522
AMZN,AMZN,SAL,278200,2019-12-06,280522
AMZN,AMZN,SAL,278869,2020-01-09,280522
AMZN,AMZN,SAL,278938,2020-01-14,280522
AMZN,AMZN,SAL,279830.76,2020-01-16,280522
AMZN,AMZN,SAL,278548,2020-01-22,280522
AMZN,AMZN,SAL,279628,2020-01-23,280522
AMZN,AMZN,SAL,278187.59,2020-01-26,280522
AMZN,AMZN,SAL,278646,2020-01-26,280522
AMZN,AMZN,SAL,279330,2020-01-27,280522
AMZN,AMZN,SAL,280897,2020-01-28,280522
AMZN,AMZN,SAL,279921.48,2020-01-28,280522
AMZN,AMZN,SAL,279007.11,2020-01-28,280522
AMZN,AMZN,SAL,279682,2020-01-29,280522
AMZN,AMZN,SAL,83250,2019-10-24,87437
AMZN,AMZN,SAL,85169,2019-10-24,87437
AMZN,AMZN,SAL,86754,2019-10-24,87437
AMZN,AMZN,SAL,85102.59,2019-10-24,87437
AMZN,AMZN,SAL,85152,2019-10-24,87437
AMZN,AMZN,SAL,86490,2019-10-24,87437
AMZN,AMZN,SAL,86374.35,2019-10-24,87437
AMZN,AMZN,SAL,86435,2019-10-24,87437
AMZN,AMZN,SAL,86500,2019-10-24,87437
AMZN,AMZN,SAL,84521,2019-10-24,87437
AMZN,AMZN,SAL,86367,2019-10-24,87437
AMZN,AMZN,SAL,86329,2019-10-25,87437
