TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
AMZN,AMZN,78750,6,EPS,0.2145,2019/12/31,2019/10/29,0.3235,2020/1/30
AMZN,AMZN,135458,6,EPS,0.2185,2019/12/31,2019/11/26,0.3235,2020/1/30
AMZN,AMZN,72088,6,EPS,0.2275,2019/12/31,2019/11/26,0.3235,2020/1/30
AMZN,AMZN,192535,6,EPS,0.2015,2019/12/31,2019/11/26,0.3235,2020/1/30
AMZN,AMZN,80183,6,EPS,0.203,2019/12/31,2019/12/6,0.3235,2020/1/30
AMZN,AMZN,56585,6,EPS,0.159,2019/12/31,2020/1/7,0.3235,2020/1/30
AMZN,AMZN,194103,6,EPS,0.1875,2019/12/31,2020/1/9,0.3235,2020/1/30
AMZN,AMZN,142116,6,EPS,0.218,2019/12/31,2020/1/14,0.3235,2020/1/30
AMZN,AMZN,146997,6,EPS,0.221,2019/12/31,2020/1/16,0.3235,2020/1/30
AMZN,AMZN,125405,6,EPS,0.209,2019/12/31,2020/1/22,0.3235,2020/1/30
AMZN,AMZN,56585,6,EPS,0.191,2019/12/31,2020/1/26,0.3235,2020/1/30
AMZN,AMZN,141764,6,EPS,0.134,2019/12/31,2020/1/27,0.3235,2020/1/30
AMZN,AMZN,105975,6,EPS,0.211,2019/12/31,2020/1/28,0.3235,2020/1/30
AMZN,AMZN,114392,6,EPS,0.4309,2019/12/31,2020/1/28,0.3235,2020/1/30
AMZN,AMZN,123215,6,EPS,0.1885,2019/12/31,2020/1/29,0.3235,2020/1/30
AMZN,AMZN,132634,7,EPS,0.366,2019/12/31,2019/8/1,0.3235,2020/1/30
AMZN,AMZN,105975,7,EPS,0.3345,2019/12/31,2019/9/5,0.3235,2020/1/30
AMZN,AMZN,182826,7,EPS,0.5005,2019/12/31,2019/9/18,0.3235,2020/1/30
AMZN,AMZN,123215,7,EPS,0.355,2019/12/31,2019/10/8,0.3235,2020/1/30
AMZN,AMZN,125405,7,EPS,0.3845,2019/12/31,2019/10/11,0.3235,2020/1/30
AMZN,AMZN,146997,7,EPS,0.309,2019/12/31,2019/10/14,0.3235,2020/1/30
AMZN,AMZN,72088,7,EPS,0.278,2019/12/31,2019/10/15,0.3235,2020/1/30
AMZN,AMZN,114392,7,EPS,0.5425,2019/12/31,2019/10/16,0.3235,2020/1/30
AMZN,AMZN,110432,7,EPS,0.376,2019/12/31,2019/10/16,0.3235,2020/1/30
AMZN,AMZN,105975,7,EPS,0.344,2019/12/31,2019/10/22,0.3235,2020/1/30
AMZN,AMZN,125888,7,EPS,0.4355,2019/12/31,2019/10/23,0.3235,2020/1/30
AMZN,AMZN,79306,6,EPS,0.3265,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,59339,6,EPS,0.3135,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,110432,6,EPS,0.334,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,123215,6,EPS,0.329,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,80183,6,EPS,0.315,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,125888,6,EPS,0.325,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,108441,6,EPS,0.333,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,125405,6,EPS,0.3465,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,56585,6,EPS,0.309,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,87229,6,EPS,0.303,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,22953,6,EPS,0.3195,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,182826,6,EPS,0.291,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,133860,6,EPS,0.309,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,80702,6,EPS,0.3325,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,192537,6,EPS,0.3425,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,192535,6,EPS,0.332,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,141764,6,EPS,0.281,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,125796,6,EPS,0.293,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,111135,6,EPS,0.2965,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,80523,6,EPS,0.291,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,77748,6,EPS,0.394,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,58063,6,EPS,0.3385,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,114392,6,EPS,0.5077,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,0,6,EPS,0.3175,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,73111,6,EPS,0.33,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,70872,6,EPS,0.3115,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,166386,6,EPS,0.3195,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,72088,6,EPS,0.3325,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,146997,6,EPS,0.369,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,193812,6,EPS,0.313,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,142116,6,EPS,0.3045,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,119308,6,EPS,0.321,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,194103,6,EPS,0.285,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,108299,6,EPS,0.285,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,106993,6,EPS,0.295,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,163994,6,EPS,0.3265,2020/3/31,2020/1/30,0.2505,2020/4/30
AMZN,AMZN,135458,6,EPS,0.359,2020/3/31,2020/1/31,0.2505,2020/4/30
AMZN,AMZN,78750,6,EPS,0.301,2020/3/31,2020/2/3,0.2505,2020/4/30
AMZN,AMZN,118746,6,EPS,0.3005,2020/3/31,2020/2/13,0.2505,2020/4/30
AMZN,AMZN,70872,6,EPS,0.3085,2020/3/31,2020/3/3,0.2505,2020/4/30
AMZN,AMZN,105975,6,EPS,0.3245,2020/3/31,2020/3/10,0.2505,2020/4/30
AMZN,AMZN,182826,6,EPS,0.3095,2020/3/31,2020/3/19,0.2505,2020/4/30
AMZN,AMZN,70872,6,EPS,0.2995,2020/3/31,2020/3/19,0.2505,2020/4/30
AMZN,AMZN,80183,6,EPS,0.319,2020/3/31,2020/3/20,0.2505,2020/4/30
AMZN,AMZN,87229,6,EPS,0.24,2020/3/31,2020/3/20,0.2505,2020/4/30
AMZN,AMZN,123215,6,EPS,0.3265,2020/3/31,2020/3/26,0.2505,2020/4/30
AMZN,AMZN,73111,6,EPS,0.234,2020/3/31,2020/3/29,0.2505,2020/4/30
AMZN,AMZN,125888,6,EPS,0.326,2020/3/31,2020/3/30,0.2505,2020/4/30
AMZN,AMZN,79306,6,EPS,0.319,2020/3/31,2020/3/31,0.2505,2020/4/30
AMZN,AMZN,125796,6,EPS,0.3275,2020/3/31,2020/4/7,0.2505,2020/4/30
AMZN,AMZN,146997,6,EPS,0.326,2020/3/31,2020/4/8,0.2505,2020/4/30
AMZN,AMZN,105975,6,EPS,0.325,2020/3/31,2020/4/8,0.2505,2020/4/30
AMZN,AMZN,56585,6,EPS,0.3075,2020/3/31,2020/4/13,0.2505,2020/4/30
AMZN,AMZN,125405,6,EPS,0.3285,2020/3/31,2020/4/16,0.2505,2020/4/30
AMZN,AMZN,77748,6,EPS,0.3715,2020/3/31,2020/4/22,0.2505,2020/4/30
