TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
BABA,BABA,160294,6,EPS,10.67,2019/9/30,2019/8/19,13.1,2019/11/1
BABA,BABA,162926,6,EPS,10.35,2019/9/30,2019/8/19,13.1,2019/11/1
BABA,BABA,135458,6,EPS,10.3,2019/9/30,2019/8/21,13.1,2019/11/1
BABA,BABA,188472,6,EPS,11.12,2019/9/30,2019/8/29,13.1,2019/11/1
BABA,BABA,73430,6,EPS,10.69,2019/9/30,2019/9/10,13.1,2019/11/1
BABA,BABA,111204,6,EPS,10.2,2019/9/30,2019/10/9,13.1,2019/11/1
BABA,BABA,103370,6,EPS,6.67,2019/9/30,2019/10/11,13.1,2019/11/1
BABA,BABA,135458,6,EPS,10.93,2019/9/30,2019/10/14,13.1,2019/11/1
BABA,BABA,184603,6,EPS,11.17,2019/9/30,2019/10/15,13.1,2019/11/1
BABA,BABA,80183,6,EPS,10.52,2019/9/30,2019/10/16,13.1,2019/11/1
BABA,BABA,160294,6,EPS,11.21,2019/9/30,2019/10/16,13.1,2019/11/1
BABA,BABA,187334,6,EPS,10.8,2019/9/30,2019/10/20,13.1,2019/11/1
BABA,BABA,190038,6,EPS,10.5,2019/9/30,2019/10/22,13.1,2019/11/1
BABA,BABA,71165,6,EPS,10.59,2019/9/30,2019/10/22,13.1,2019/11/1
BABA,BABA,79294,6,EPS,11.61,2019/9/30,2019/10/25,13.1,2019/11/1
BABA,BABA,22953,6,EPS,10.17,2019/9/30,2019/10/29,13.1,2019/11/1
BABA,BABA,160294,7,EPS,9.15,2019/9/30,2019/8/5,13.1,2019/11/1
BABA,BABA,79294,7,EPS,11.42,2019/9/30,2019/8/9,13.1,2019/11/1
BABA,BABA,111204,7,EPS,8.88,2019/9/30,2019/8/12,13.1,2019/11/1
BABA,BABA,80183,6,EPS,17.09,2019/12/31,2019/11/1,18.19,2020/2/13
BABA,BABA,22953,6,EPS,14.61,2019/12/31,2019/11/1,18.19,2020/2/13
BABA,BABA,106993,6,EPS,15.71,2019/12/31,2019/11/1,18.19,2020/2/13
BABA,BABA,80523,6,EPS,16.17,2019/12/31,2019/11/1,18.19,2020/2/13
BABA,BABA,192292,6,EPS,16.16,2019/12/31,2019/11/1,18.19,2020/2/13
BABA,BABA,79294,6,EPS,16.58,2019/12/31,2019/11/3,18.19,2020/2/13
BABA,BABA,187478,6,EPS,16.27,2019/12/31,2019/11/3,18.19,2020/2/13
BABA,BABA,159605,6,EPS,16.57,2019/12/31,2019/11/3,18.19,2020/2/13
BABA,BABA,71165,6,EPS,19.14,2019/12/31,2019/11/3,18.19,2020/2/13
BABA,BABA,160294,6,EPS,16.25,2019/12/31,2019/11/3,18.19,2020/2/13
BABA,BABA,103370,6,EPS,12.72,2019/12/31,2019/11/3,18.19,2020/2/13
BABA,BABA,111135,6,EPS,16.07,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,189183,6,EPS,15.6,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,129984,6,EPS,15.2699,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,184603,6,EPS,15.97,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,190038,6,EPS,16.2,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,79306,6,EPS,15.4,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,162926,6,EPS,15,2019/12/31,2019/11/4,18.19,2020/2/13
BABA,BABA,135458,6,EPS,16.19,2019/12/31,2019/11/2,18.19,2020/2/13
BABA,BABA,130431,6,EPS,15.017,2019/12/31,2019/11/11,18.19,2020/2/13
BABA,BABA,125796,6,EPS,15.32,2019/12/31,2019/11/12,18.19,2020/2/13
BABA,BABA,188472,6,EPS,16.63,2019/12/31,2019/11/19,18.19,2020/2/13
BABA,BABA,118768,6,EPS,17.335,2019/12/31,2019/11/22,18.19,2020/2/13
BABA,BABA,103370,6,EPS,12.72,2019/12/31,2019/11/26,18.19,2020/2/13
BABA,BABA,103370,6,EPS,12.73,2019/12/31,2019/12/1,18.19,2020/2/13
BABA,BABA,79294,6,EPS,16.47,2019/12/31,2019/12/4,18.19,2020/2/13
BABA,BABA,79294,6,EPS,16.5,2019/12/31,2019/12/5,18.19,2020/2/13
BABA,BABA,73430,6,EPS,16.55,2019/12/31,2019/12/2,18.19,2020/2/13
BABA,BABA,80183,6,EPS,16.39,2019/12/31,2019/12/10,18.19,2020/2/13
BABA,BABA,135458,6,EPS,15.25,2019/12/31,2019/12/13,18.19,2020/2/13
BABA,BABA,130431,6,EPS,15.33,2019/12/31,2020/1/5,18.19,2020/2/13
BABA,BABA,111204,6,EPS,15.91,2019/12/31,2020/1/7,18.19,2020/2/13
BABA,BABA,189183,6,EPS,15.5,2019/12/31,2020/1/9,18.19,2020/2/13
BABA,BABA,140500,6,EPS,15.75,2019/12/31,2020/1/10,18.19,2020/2/13
BABA,BABA,130431,6,EPS,15.479,2019/12/31,2020/1/12,18.19,2020/2/13
BABA,BABA,159605,6,EPS,15.75,2019/12/31,2020/1/13,18.19,2020/2/13
BABA,BABA,71165,6,EPS,16.14,2019/12/31,2020/1/13,18.19,2020/2/13
BABA,BABA,118768,6,EPS,16.576,2019/12/31,2020/1/15,18.19,2020/2/13
BABA,BABA,79294,6,EPS,16.71,2019/12/31,2020/1/21,18.19,2020/2/13
BABA,BABA,184603,6,EPS,16.14,2019/12/31,2020/1/21,18.19,2020/2/13
BABA,BABA,80523,6,EPS,16.06,2019/12/31,2020/1/28,18.19,2020/2/13
BABA,BABA,160294,6,EPS,15.98,2019/12/31,2020/2/3,18.19,2020/2/13
BABA,BABA,111204,6,EPS,15.75,2019/12/31,2020/2/10,18.19,2020/2/13
BABA,BABA,22953,7,EPS,15.45,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,130431,7,EPS,15.606,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,192292,7,EPS,15.85,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,79306,7,EPS,15.53,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,71165,7,EPS,16.42,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,106993,7,EPS,15.82,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,79294,7,EPS,16.82,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,103370,7,EPS,11.65,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,80183,7,EPS,16.29,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,184603,7,EPS,16.53,2019/12/31,2019/8/15,18.19,2020/2/13
