TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
BABA,BABA,ALIBABA,GRM,47.1,2019-11-12,3:58:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.6,2019-11-19,16:06:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.5,2019-12-10,6:10:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.2,2019-12-13,6:43:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48.2,2020-01-10,3:01:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,44,2020-01-14,5:35:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.5,2020-01-21,0:21:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48.3,2020-02-03,20:24:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48,2020-02-10,19:19:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,49.5,2019-08-15,16:20:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48.8,2019-08-15,23:36:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48,2019-08-15,19:30:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,49,2019-08-15,17:00:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,49.2,2019-08-15,14:27:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48,2019-08-15,19:36:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.8,2019-08-16,6:54:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,49.8,2019-08-16,4:29:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48.5,2019-08-16,6:10:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,45.2,2019-08-19,20:42:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47,2019-08-19,0:51:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.8,2019-08-21,11:37:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,48.8,2019-08-29,16:36:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.3,2019-10-15,23:06:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,47.7,2019-10-16,22:00:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,44.4,2019-10-16,23:25:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,51.7,2019-10-22,1:56:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,44.6,2019-08-05,20:37:00,48.81,2020-02-13,6:45:00
BABA,BABA,ALIBABA,GRM,46.7,2019-08-02,7:49:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45,2019-08-05,4:10:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,42.1,2019-08-05,20:37:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.2,2019-08-15,10:32:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47,2019-08-15,20:56:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,42.8,2019-08-15,16:02:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47.1,2019-08-15,16:20:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.2,2019-08-15,23:36:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.5,2019-08-15,14:20:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.6,2019-08-15,19:30:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.3,2019-08-15,21:24:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.825,2019-08-15,14:13:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.8,2019-08-15,17:00:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.4,2019-08-15,19:36:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.1,2019-08-15,14:27:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.2,2019-08-15,19:00:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47.9,2019-08-15,17:46:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.1,2019-08-16,6:23:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.56,2019-08-16,5:00:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47.8,2019-08-16,1:48:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.2,2019-08-16,6:54:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.6,2019-08-16,4:29:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.4,2019-08-16,6:10:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.8,2019-08-16,12:50:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.6,2019-08-16,7:28:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.7,2019-08-18,22:35:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.6,2019-08-18,22:22:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,43.6,2019-08-19,20:42:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,37.8,2019-08-19,0:38:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45,2019-08-19,0:51:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.7,2019-08-21,11:37:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47.6,2019-08-21,20:48:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.3,2019-08-20,13:46:00,46.04,2020-05-22,7:09:00
