TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,GRM,38,2019-10-25,38.32
AMZN,AMZN,GRM,37.8,2019-11-26,38.32
AMZN,AMZN,GRM,37.7,2019-11-26,38.32
AMZN,AMZN,GRM,37.2,2019-12-10,38.32
AMZN,AMZN,GRM,39,2020-01-09,38.32
AMZN,AMZN,GRM,37.3,2020-01-13,38.32
AMZN,AMZN,GRM,37,2020-01-23,38.32
AMZN,AMZN,GRM,37.9,2020-01-28,38.32
AMZN,AMZN,GRM,38.6,2019-08-01,38.32
AMZN,AMZN,GRM,39,2019-09-05,38.32
AMZN,AMZN,GRM,39,2019-10-08,38.32
AMZN,AMZN,GRM,38.7,2019-10-11,38.32
AMZN,AMZN,GRM,38.8,2019-10-22,38.32
AMZN,AMZN,GRM,43,2020-01-30,41.34
AMZN,AMZN,GRM,42.7,2020-01-30,41.34
AMZN,AMZN,GRM,41.4,2020-01-30,41.34
AMZN,AMZN,GRM,43,2020-01-30,41.34
AMZN,AMZN,GRM,43.1,2020-01-30,41.34
AMZN,AMZN,GRM,42.8,2020-01-30,41.34
AMZN,AMZN,GRM,43.2,2020-01-31,41.34
AMZN,AMZN,GRM,43.9,2020-01-31,41.34
AMZN,AMZN,GRM,42,2020-01-31,41.34
AMZN,AMZN,GRM,43.5,2020-01-31,41.34
AMZN,AMZN,GRM,42.9,2020-01-31,41.34
AMZN,AMZN,GRM,43,2020-01-31,41.34
AMZN,AMZN,GRM,42.7,2020-01-31,41.34
AMZN,AMZN,GRM,43.4,2020-01-31,41.34
AMZN,AMZN,GRM,43.2,2020-01-31,41.34
AMZN,AMZN,GRM,42.8,2020-01-31,41.34
AMZN,AMZN,GRM,43.4,2020-01-31,41.34
AMZN,AMZN,GRM,43.3,2020-01-31,41.34
AMZN,AMZN,GRM,42,2020-01-31,41.34
AMZN,AMZN,GRM,42.9,2020-01-31,41.34
AMZN,AMZN,GRM,42.7,2020-02-13,41.34
AMZN,AMZN,GRM,43.1,2020-03-03,41.34
AMZN,AMZN,GRM,42.8,2020-03-10,41.34
AMZN,AMZN,GRM,41.78,2020-03-19,41.34
AMZN,AMZN,GRM,42.6,2020-03-20,41.34
AMZN,AMZN,GRM,42.4,2020-03-20,41.34
AMZN,AMZN,GRM,42,2020-03-26,41.34
AMZN,AMZN,GRM,43,2020-03-30,41.34
AMZN,AMZN,GRM,42.1,2020-04-07,41.34
AMZN,AMZN,GRM,41.7,2020-04-08,41.34
AMZN,AMZN,GRM,41.1,2020-04-16,41.34
AMZN,AMZN,GRM,43,2020-04-16,41.34
AMZN,AMZN,GRM,42.9,2020-04-22,41.34
AMZN,AMZN,GRM,42.2,2020-04-23,41.34
AMZN,AMZN,GRM,42.4,2020-04-24,41.34
AMZN,AMZN,GRM,42.6,2020-04-24,41.34
AMZN,AMZN,GRM,42.2,2020-04-26,41.34
AMZN,AMZN,GRM,41.5,2020-04-26,41.34
AMZN,AMZN,GRM,41,2020-04-27,41.34
AMZN,AMZN,GRM,41,2020-04-27,41.34
AMZN,AMZN,GRM,42.78,2019-10-24,41.34
AMZN,AMZN,GRM,41.7,2019-10-24,41.34
AMZN,AMZN,GRM,42.7,2019-10-24,41.34
AMZN,AMZN,GRM,43.7,2019-10-25,41.34
AMZN,AMZN,GRM,42.2,2019-10-25,41.34
AMZN,AMZN,GRM,42.7,2019-10-25,41.34
AMZN,AMZN,GRM,44.3,2019-10-25,41.34
AMZN,AMZN,GRM,41.4,2019-10-25,41.34
AMZN,AMZN,GRM,43.5,2019-10-25,41.34
AMZN,AMZN,GRM,44,2019-10-25,41.34
AMZN,AMZN,GRM,44,2019-10-25,41.34
AMZN,AMZN,GRM,42.8,2019-10-25,41.34
AMZN,AMZN,GRM,43,2019-10-25,41.34
AMZN,AMZN,GRM,42.3,2019-10-25,41.34
AMZN,AMZN,GRM,43.5,2019-10-25,41.34
AMZN,AMZN,GRM,42.6,2019-10-25,41.34
AMZN,AMZN,GRM,41.6,2019-11-26,41.34
AMZN,AMZN,GRM,43.3,2019-12-23,41.34
AMZN,AMZN,GRM,42.8,2020-01-07,41.34
AMZN,AMZN,GRM,42,2020-01-09,41.34
AMZN,AMZN,GRM,43,2020-01-13,41.34
AMZN,AMZN,GRM,41.2,2020-01-14,41.34
AMZN,AMZN,GRM,43,2020-01-23,41.34
AMZN,AMZN,GRM,43,2020-01-23,41.34
AMZN,AMZN,GRM,45.8,2020-01-26,41.34
AMZN,AMZN,GRM,41.2,2020-01-26,41.34
AMZN,AMZN,GRM,42.5,2020-01-28,41.34
AMZN,AMZN,GRM,42,2020-01-29,41.34
AMZN,AMZN,GRM,43.7,2019-09-02,41.34
AMZN,AMZN,GRM,43,2019-09-05,41.34
AMZN,AMZN,GRM,43,2019-10-08,41.34
AMZN,AMZN,GRM,42.9,2019-10-22,41.34
AMZN,AMZN,GRM,44,2019-10-23,41.34
AMZN,AMZN,GRM,40.4,2020-04-30,40.82
AMZN,AMZN,GRM,41,2020-04-30,40.82
AMZN,AMZN,GRM,41,2020-04-30,40.82
AMZN,AMZN,GRM,38.5,2020-04-30,40.82
AMZN,AMZN,GRM,41.4,2020-04-30,40.82
AMZN,AMZN,GRM,39.6,2020-04-30,40.82
AMZN,AMZN,GRM,40.8,2020-05-01,40.82
AMZN,AMZN,GRM,40,2020-05-01,40.82
AMZN,AMZN,GRM,41.3,2020-05-01,40.82
AMZN,AMZN,GRM,41,2020-05-01,40.82
AMZN,AMZN,GRM,40.6,2020-05-01,40.82
AMZN,AMZN,GRM,42,2020-05-01,40.82
AMZN,AMZN,GRM,40.8,2020-05-01,40.82
AMZN,AMZN,GRM,41.4,2020-05-01,40.82
AMZN,AMZN,GRM,41.3,2020-05-01,40.82
AMZN,AMZN,GRM,39.8,2020-05-01,40.82
AMZN,AMZN,GRM,39.8,2020-05-01,40.82
AMZN,AMZN,GRM,39.1,2020-05-01,40.82
AMZN,AMZN,GRM,39,2020-05-01,40.82
