TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
WMT,WMT,143894,6,EPS,0.3467,2020/4/30,2020/5/12,0.3933,2020/5/19
WMT,WMT,7891,6,EPS,0.3967,2020/4/30,2020/5/13,0.3933,2020/5/19
WMT,WMT,80702,6,EPS,0.3967,2020/4/30,2020/5/13,0.3933,2020/5/19
WMT,WMT,127023,6,EPS,0.3733,2020/4/30,2020/5/13,0.3933,2020/5/19
WMT,WMT,183603,6,EPS,0.3667,2020/4/30,2020/5/15,0.3933,2020/5/19
WMT,WMT,82287,6,EPS,0.4033,2020/4/30,2020/5/15,0.3933,2020/5/19
WMT,WMT,160532,6,EPS,0.2967,2020/4/30,2020/5/15,0.3933,2020/5/19
WMT,WMT,187554,6,EPS,0.36,2020/4/30,2020/5/15,0.3933,2020/5/19
WMT,WMT,56168,6,EPS,0.3167,2020/4/30,2020/5/18,0.3933,2020/5/19
WMT,WMT,75676,6,EPS,0.3867,2020/4/30,2020/5/18,0.3933,2020/5/19
WMT,WMT,82287,7,EPS,0.4033,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,107677,7,EPS,0.3867,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,113415,7,EPS,0.3767,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,59339,7,EPS,0.4,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,127023,7,EPS,0.3867,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,80702,7,EPS,0.3833,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,119883,7,EPS,0.3867,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,108441,7,EPS,0.3967,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,113156,7,EPS,0.3833,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,183603,7,EPS,0.3867,2020/4/30,2019/11/15,0.3933,2020/5/19
WMT,WMT,58487,7,EPS,0.3867,2020/4/30,2019/11/15,0.3933,2020/5/19
WMT,WMT,190834,7,EPS,0.3867,2020/4/30,2019/11/14,0.3933,2020/5/19
WMT,WMT,48177,7,EPS,0.3833,2020/4/30,2019/11/21,0.3933,2020/5/19
WMT,WMT,113251,7,EPS,0.3833,2020/4/30,2019/12/30,0.3933,2020/5/19
WMT,WMT,82287,7,EPS,0.4,2020/4/30,2020/2/11,0.3933,2020/5/19
WMT,WMT,122956,7,EPS,0.3867,2020/4/30,2020/2/11,0.3933,2020/5/19
WMT,WMT,110432,7,EPS,0.3767,2020/4/30,2020/2/12,0.3933,2020/5/19
WMT,WMT,110432,7,EPS,0.3933,2020/4/30,2020/2/12,0.3933,2020/5/19
WMT,WMT,183603,7,EPS,0.3833,2020/4/30,2020/2/13,0.3933,2020/5/19
WMT,WMT,56168,7,EPS,0.38,2020/4/30,2020/2/14,0.3933,2020/5/19
WMT,WMT,113156,8,EPS,0.3733,2020/4/30,2019/8/15,0.3933,2020/5/19
WMT,WMT,190834,8,EPS,0.38,2020/4/30,2019/8/15,0.3933,2020/5/19
